Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
100 km,Tx. Urban. (2010),M2,-0.18195885504148113,0.053762748359846804,7.131365633434861e-4,230.17578190044168,1233
100 km,Tx. Urban. (2010),M3,-0.13949134764207702,0.04900429446214841,0.0044200962970213364,258.6562091652257,1233
100 km,Tx. Urban. (2010),M4,-0.14252848125285222,0.05150544632680899,0.005653126777914741,231.3084053756143,1231
100 km,Val. Prod. (2000),M1,-0.493460076437591,0.252115566621206,0.050314874434213674,595.7379737552599,928
100 km,Val. Prod. (2000),M2,-1.6944883761678327,0.5867156238455544,0.0038758716956475148,169.04765606792168,928
100 km,Val. Prod. (2000),M3,-0.825065588830755,0.535500598834555,0.12338080663944528,168.32740018007345,928
100 km,Val. Prod. (2000),M4,-0.7047385697192603,0.5361880050661908,0.1887285328554551,165.27129063997555,927
100 km,Val. Prod. (2010),M1,-0.8830794159337646,0.3268556703829029,0.006897743895368569,595.7379737552599,928
100 km,Val. Prod. (2010),M2,-1.8945505585840996,0.7124305623742561,0.007830843664946352,169.04765606792168,928
100 km,Val. Prod. (2010),M3,-0.4521379329518713,0.5932613480884333,0.44598678334205566,168.32740018007345,928
100 km,Val. Prod. (2010),M4,-0.29402720438981444,0.5892332218507278,0.617779591262575,165.27129063997555,927
100 km,IDHM (2000),M1,-0.02227012408774144,0.008518285936122439,0.008938686118048933,897.7367604645647,1233
100 km,IDHM (2000),M2,-0.0407621341334606,0.01877719526004818,0.029943882949651,230.17578190044168,1233
100 km,IDHM (2000),M3,-0.03241929268603977,0.016956408736138538,0.055886488538754,258.6562091652257,1233
100 km,IDHM (2000),M4,-0.024164282541178205,0.01504609079247627,0.10827010258854197,231.3084053756143,1231
100 km,IDHM (2010),M1,-0.02035865549231419,0.006235867325738358,0.0010955405422441444,897.7367604645647,1233
100 km,IDHM (2010),M2,-0.03612139711265611,0.013362814237184563,0.00686902919451704,230.17578190044168,1233
100 km,IDHM (2010),M3,-0.02990381322321901,0.011943340773074351,0.012286523961241524,258.6562091652257,1233
100 km,IDHM (2010),M4,-0.023831615038388317,0.010237455653619915,0.01991823386465552,231.3084053756143,1231
100 km,Renda p.c. (2000),M1,-0.22451215299816044,0.054278890831044785,3.529966734894252e-5,897.7367604645647,1233
100 km,Renda p.c. (2000),M2,-0.3006168293568744,0.12249887535655724,0.014126226368388117,230.17578190044168,1233
100 km,Renda p.c. (2000),M3,-0.25829756853841024,0.1141169675387809,0.02360822341929958,258.6562091652257,1233
100 km,Renda p.c. (2000),M4,-0.17361583219390772,0.09086489444771816,0.056042750895976434,231.3084053756143,1231
100 km,Renda p.c. (2010),M1,-0.20124628752809545,0.04473584331667653,6.841951640135235e-6,897.7367604645647,1233
100 km,Renda p.c. (2010),M2,-0.24799924420733088,0.09450745863029225,0.008687227599304181,230.17578190044168,1233
100 km,Renda p.c. (2010),M3,-0.20646036485483643,0.08710916008132225,0.01778164886796052,258.6562091652257,1233
100 km,Renda p.c. (2010),M4,-0.15327189415093836,0.0744695359664035,0.03957261985876781,231.3084053756143,1231
100 km,% Pobres (2010),M1,6.99997732492901,1.5576608459189674,6.992936983474252e-6,897.7367604645647,1233
100 km,% Pobres (2010),M2,13.52995832354329,3.2501463615863675,3.1426318650051854e-5,230.17578190044168,1233
100 km,% Pobres (2010),M3,12.026529364455772,3.0558326008545467,8.298971160991542e-5,258.6562091652257,1233
100 km,% Pobres (2010),M4,11.322114087897395,3.032928671544151,1.891651856065213e-4,231.3084053756143,1231
